,realValues,predictValues,MRE,BRE,IBRE
100,0.010227203135525753,0.08909458950769159,7.71153025192273,7.71153025192273,0.8852096048476341
103,0.017718986669932837,0.07350035296765546,3.1481126622425557,3.1481126622425557,0.7589265091321364
45,0.005164635515544941,0.07925654240337282,14.34600886448231,14.34600886448231,0.9348364771041897
57,0.04064343601363627,0.11763831679050735,1.894398907391554,1.894398907391554,0.6545051210991492
156,0.27519546002000533,0.09885527462879745,0.6407815934840961,1.7838217136451955,0.6407815934840961
276,0.016412517606711988,0.11373013248523797,5.929475124445711,5.929475124445711,0.8556889256341778
16,0.03964317063710781,0.10817270586844818,1.72865929061672,1.72865929061672,0.6335196543449789
192,0.08671688407128422,0.09087656268590083,0.047968497244402955,0.047968497244402955,0.04577284276248233
127,0.02761957253965338,0.10328876802266698,2.7396946630645873,2.7396946630645873,0.7325984899578607
264,0.03649947945373262,0.07316248838865422,1.004480323654924,1.004480323654924,0.5011175773595908
68,0.09339212444117828,0.06439180367997689,0.31052212308829996,0.4503728596473413,0.31052212308829996
288,0.18513074897421763,0.2725460608950523,0.4721814847354645,0.4721814847354645,0.3207359212375304
160,0.4298283217996612,0.19707859868744537,0.5414946184507083,1.1809994827563326,0.5414946184507083
48,0.009778104395043584,0.057942966024030915,4.925787216324013,4.925787216324013,0.8312460499348916
121,0.32931185824810666,0.1160250569483473,0.6476742211301333,1.8382822375576302,0.6476742211301333
239,0.04399126298813971,0.06254019197380783,0.42165029430205303,0.42165029430205303,0.2965921337983183
43,0.502521077020434,0.12152994272385273,0.7581595115483863,3.134956914793345,0.7581595115483863
204,0.16390062669687874,0.20918432567308715,0.276287527929695,0.276287527929695,0.21647749577077624
242,0.054504256231245024,0.08206340229793527,0.505632916992118,0.505632916992118,0.3358274857607706
178,0.0461959295323249,0.06630479731580757,0.43529523027373646,0.43529523027373646,0.3032792286160652
61,0.06418029273072448,0.11829537179030472,0.8431728301182115,0.8431728301182115,0.45745728037024874
12,0.0365607201910711,0.09320714189172635,1.5493792628978218,1.5493792628978218,0.6077476527116163
108,0.03909200400106151,0.07369152478298475,0.8850792295269314,0.8850792295269314,0.469518318203021
18,0.05082981199093638,0.09496831040203266,0.8683584825961338,0.8683584825961338,0.46477080853858765
212,0.30814297670810625,0.24623503724301204,0.20090654061454585,0.2514180766403141,0.20090654061454585
15,0.03888786820993325,0.07590209975457723,0.9518195069173095,0.9518195069173095,0.4876575439194205
254,0.12968746810378262,0.22996240916297223,0.773204554960888,0.773204554960888,0.43604927181000996
261,0.014187437483413968,0.060219719615000125,3.24458043853239,3.24458043853239,0.7644054543243005
354,0.15544940494416884,0.09629730521547408,0.3805231660419659,0.6142653690706764,0.3805231660419659
342,0.14730438687815134,0.15035790640273597,0.020729318313584714,0.020729318313584714,0.020308340263835087
59,0.053830608120521775,0.059876905374273946,0.11232080529751899,0.11232080529751899,0.10097878666170942
198,0.10790617919039745,0.3152266613943142,1.921303152047535,1.921303152047535,0.6576870157076637
134,0.052932410639557434,0.1172077094923164,1.2142900365985745,1.2142900365985745,0.5483879783263964
110,0.0544838426521322,0.10793141376837874,0.9809802046727498,0.9809802046727498,0.49519939793381423
247,0.07555065629656849,0.05782838000839221,0.23457474967005976,0.3064633020258284,0.23457474967005976
196,0.10519117316839162,0.13585341911722015,0.29149067383956206,0.29149067383956206,0.22570095142303215
81,0.5192193847347256,0.26565368108345766,0.4883594702089507,0.9544972334548899,0.4883594702089507
223,0.017269887929450674,0.05674712460541635,2.2858999917795866,2.2858999917795866,0.6956693744478762
154,0.27237838610243537,0.15538760357087023,0.42951566093635474,0.752896497809796,0.42951566093635474
245,0.06905913813868986,0.03348732462728247,0.5150920568972255,1.0622471011741161,0.5150920568972255
300,0.04803315165247923,0.24833282540496496,4.170029799453046,4.170029799453046,0.8065775171923006
234,0.02774205401433033,0.021966320768824182,0.20819414606152295,0.26293585103716544,0.20819414606152295
106,0.0371118868271174,0.07300835905560654,0.9672499917805267,0.9672499917805267,0.491676195614104
318,0.19697062485965663,0.16504553009603337,0.16208048680543194,0.19343204717539053,0.16208048680543194
163,0.7124339110376222,0.3945901501637443,0.4461378886512509,0.805503535103401,0.4461378886512509
52,0.01514687570171678,0.06288317988120311,3.151561095472368,3.151561095472368,0.7591267532855086
20,0.055402453712209365,0.12273752414625105,1.2153806541460574,1.2153806541460574,0.5486103039996705
282,0.08010288443872865,0.056807609317429904,0.29081693230557126,0.41007314691116936,0.29081693230557126
299,0.0436646457223345,0.15353927147680402,2.516329262194576,2.516329262194576,0.7156125250409883
353,0.12968746810378262,0.06431089969436884,0.5041086032853695,1.016570576995648,0.5041086032853695
74,0.10572192622532509,0.10033353551000966,0.050967579836099,0.053704782632501356,0.050967579836099
69,0.09355543307408089,0.16604945448638014,0.7748777278909673,0.7748777278909673,0.436580906793918
314,0.14397697348276073,0.1658113866238287,0.15165211917503135,0.15165211917503135,0.13168222994602316
334,0.01616755465735808,0.08415241090024952,4.20501786965975,4.20501786965975,0.8078777008953151
273,0.0053687713066731995,0.0178784934249061,2.33009033234173,2.33009033234173,0.6997078456737248
219,0.012901381999305938,0.03684372622505755,1.8557968616881235,1.8557968616881235,0.6498350378433856
215,0.6032825035213424,0.1838692106365038,0.6952187249534595,2.2810414611176446,0.6952187249534595
235,0.031089880988833772,0.01574684991604257,0.4935056225625888,0.9743555793441606,0.4935056225625888
27,0.07330516259415763,0.09089284184125972,0.23992415574430237,0.23992415574430237,0.19349905769057346
333,0.014391573274542225,0.13596029581087693,8.44721561828004,8.44721561828004,0.8941487057768605
216,0.005082981199093637,0.0009081794316041225,0.8213293742329673,4.596890903062556,0.8213293742329673
220,0.014187437483413968,0.016617712488400424,0.17129767146657776,0.17129767146657776,0.1462460616455393
324,0.2956090391328312,0.08530969598642328,0.7114103944971399,2.465128268419527,0.7114103944971399
77,0.1582664788617388,0.1022805043015555,0.35374499365145107,0.5473767942629499,0.35374499365145107
3,0.014534468328332007,0.08952468139553894,5.15947411168998,5.15947411168998,0.837648477472758
214,0.5880743870822872,0.1357365984477266,0.7691846449542218,3.3324673949948735,0.7691846449542218
179,0.04680833690570968,0.06414982376423221,0.3704785943037258,0.3704785943037258,0.27032789555676945
0,0.007103925531263397,0.07213614309730608,9.154405867550958,9.154405867550958,0.9015205800276742
349,0.038847041051707595,0.09479699486026595,1.4402629465159476,1.4402629465159476,0.5902080956366869
124,0.005940351521832323,0.09711445814873788,15.348267908358153,15.348267908358153,0.9388314403944442
33,0.20480943923898176,0.14244921293460683,0.3044792590424016,0.4377716452038398,0.3044792590424016
166,0.012431869679710944,0.05521848982669772,3.4416882777347144,3.4416882777347144,0.7748603824782576
71,0.09733194520995367,0.1927849441049157,0.9806954817255673,0.9806954817255673,0.49512683336420427
