,realValues,predictValues,MRE,BRE,IBRE
100,0.010227203135525753,0.06858173,5.705814797899679,5.705814797899679,0.8508756907045496
103,0.017718986669932837,0.057449244,2.2422420668248346,2.2422420668248346,0.6915714559896166
45,0.005164635515544941,0.07029467,12.610770895458728,12.610770895458728,0.9265287757996388
57,0.04064343601363627,0.07003145,0.7230691119527051,0.7230691119527051,0.41964022623171016
156,0.27519546002000533,0.08831814,0.6790712342847837,2.1159562707674926,0.6790712342847837
276,0.016412517606711988,0.09722671,4.923936318439333,4.923936318439333,0.8311933237892316
16,0.03964317063710781,0.11705619,1.9527454309618184,1.9527454309618184,0.6613321319493963
192,0.08671688407128422,0.13251856,0.5281748313898756,0.5281748313898756,0.345624610836903
127,0.02761957253965338,0.10710257,2.877778077997812,2.877778077997812,0.7421203638047478
264,0.03649947945373262,0.03508438,0.03877035440914581,0.040334122638627345,0.03877035440914581
68,0.09339212444117828,0.043041397,0.5391324788502982,1.169820944433995,0.5391324788502982
288,0.18513074897421763,0.31251413,0.6880725002864557,0.6880725002864557,0.4076083818495319
160,0.4298283217996612,0.16810969,0.6088910928933023,1.5568325901797784,0.6088910928933023
48,0.009778104395043584,0.03593984,2.6755425474355636,2.6755425474355636,0.7279313224934091
121,0.32931185824810666,0.1811402,0.44994328395197275,0.8179943464460612,0.44994328395197275
239,0.04399126298813971,0.024965525,0.4324890221907755,0.7620804514836396,0.4324890221907755
43,0.502521077020434,0.14163128,0.718158537239501,2.548093989455951,0.718158537239501
204,0.16390062669687874,0.14015606,0.1448717233007463,0.16941519447812306,0.1448717233007463
242,0.054504256231245024,0.054907348,0.007395601804169379,0.007395601804169379,0.007341308410444134
178,0.0461959295323249,0.13292944,1.8775142238459332,1.8775142238459332,0.6524778255784074
61,0.06418029273072448,0.07519737,0.17165824057150428,0.17165824057150428,0.14650879806706593
12,0.0365607201910711,0.10862522,1.9710907691237916,1.9710907691237916,0.6634232752522363
108,0.03909200400106151,0.07788763,0.9924184994621311,0.9924184994621311,0.4980974126319557
18,0.05082981199093638,0.058479894,0.1505038413881177,0.1505038413881177,0.1308155922422043
212,0.30814297670810625,0.11182539,0.6370990088924583,1.7555725239219893,0.6370990088924583
15,0.03888786820993325,0.050279863,0.29294470211886975,0.29294470211886975,0.22657171775312107
254,0.12968746810378262,0.33689964,1.597780981477407,1.597780981477407,0.6150560778101928
261,0.014187437483413968,0.09572479,5.747151583947723,5.747151583947723,0.8517893087834103
354,0.15544940494416884,0.09836125,0.367245913079242,0.5803927950373451,0.367245913079242
342,0.14730438687815134,0.13438763,0.08768754215609534,0.09611569084930609,0.08768754215609534
59,0.053830608120521775,0.04074768,0.2430388362181879,0.321071737688569,0.2430388362181879
198,0.10790617919039745,0.21444571,0.9873348476532233,0.9873348476532233,0.49681353337065154
134,0.052932410639557434,0.1348041,1.546721340846335,1.546721340846335,0.6073382729546387
110,0.0544838426521322,0.06907647,0.2678340525970382,0.2678340525970382,0.21125324094932255
247,0.07555065629656849,0.026846591,0.6446544252662152,1.8141619626167365,0.6446544252662152
196,0.10519117316839162,0.14952141,0.4214254481779032,0.4214254481779032,0.29648086624459974
81,0.5192193847347256,0.26497808,0.48966065447785573,0.9594805079684156,0.48966065447785573
223,0.017269887929450674,0.048645966,1.8168084213232736,1.8168084213232736,0.6449882809104134
154,0.27237838610243537,0.12809977,0.5296992129702569,1.1262988019128222,0.5296992129702569
245,0.06905913813868986,0.03963983,0.4260016609288305,0.7421653198825912,0.4260016609288305
300,0.04803315165247923,0.2181249,3.5411322968364822,3.5411322968364822,0.7797906040533907
234,0.02774205401433033,0.018637843,0.3281736305316552,0.488479829678847,0.3281736305316552
